Itmcd,district,rate
B0-1030,AMPARA DISTRICT,2302.87
B0-1041,AMPARA DISTRICT,1622.93
T1-001,AMPARA DISTRICT,648.3
T1-002,AMPARA DISTRICT,460.3
T1-003,AMPARA DISTRICT,493.15
T1-003A,AMPARA DISTRICT,76.7
T1-003B,AMPARA DISTRICT,51.5
"T1-003A, T1-003B: CODES CHANGED AS T1-003A AND T1-003B",AMPARA DISTRICT,166.9
T1-006,AMPARA DISTRICT,166.9
T1-007,AMPARA DISTRICT,55.65
T1-007A,AMPARA DISTRICT,54.45
T1-008 : CODE AMENDED AS T1-007A,AMPARA DISTRICT,37.2
T1-009,AMPARA DISTRICT,37.2
T1-010,AMPARA DISTRICT,70.6
T1-010A,AMPARA DISTRICT,15.95
T1-010B,AMPARA DISTRICT,11.05
T1-011 & T1-012 CODES CHANGED,AMPARA DISTRICT,40.25
T1-013,AMPARA DISTRICT,40.25
T1-014,AMPARA DISTRICT,17.25
T1-015,AMPARA DISTRICT,52.9
T1-015A,AMPARA DISTRICT,13.1
T1-015B,AMPARA DISTRICT,9.3
T1-016 & T1-017 CODES CHANGED,AMPARA DISTRICT,59.55
T1-018,AMPARA DISTRICT,59.55
T1-018A,AMPARA DISTRICT,14.75
T1-018B,AMPARA DISTRICT,10.5
T1-019 & T1-020 : CODES CHANGED,AMPARA DISTRICT,79.4
T1-021,AMPARA DISTRICT,79.4
T1-021A,AMPARA DISTRICT,19.65
T1-021B,AMPARA DISTRICT,14
T1-022 & T1-023: CODES CHANGED,AMPARA DISTRICT,119.05
T1-024,AMPARA DISTRICT,119.05
T1-024A,AMPARA DISTRICT,29.45
T1-024B,AMPARA DISTRICT,21
T1-025 & T1-026: CODES CHANGED,AMPARA DISTRICT,158.75
T1-027,AMPARA DISTRICT,158.75
T1-027A,AMPARA DISTRICT,39.3
T1-027B,AMPARA DISTRICT,27.95
T1-028 & T1-029: CODES CHANGED,AMPARA DISTRICT,238.15
T1-030,AMPARA DISTRICT,238.15
T1-030A,AMPARA DISTRICT,58.95
T1-030B,AMPARA DISTRICT,41.95
T1-031 & T1-032: CODES CHANGED,AMPARA DISTRICT,528.15
T1-033,AMPARA DISTRICT,528.15
T1-033A,AMPARA DISTRICT,169.7
T1-033B,AMPARA DISTRICT,122.55
T1-034 & T1-035: CODES CHANGED,AMPARA DISTRICT,124.2
T1-036,AMPARA DISTRICT,124.2
T1-037,AMPARA DISTRICT,144.9
T1-038,AMPARA DISTRICT,287.5
T1-039,AMPARA DISTRICT,478.4
T1-040,AMPARA DISTRICT,623.3
T1-041,AMPARA DISTRICT,1150
T1-042,AMPARA DISTRICT,2300
T1-043,AMPARA DISTRICT,4.25
T1-044,AMPARA DISTRICT,6.3
T1-045,AMPARA DISTRICT,9.4
T1-046,AMPARA DISTRICT,11.65
T1-047,AMPARA DISTRICT,5.9
T1-048,AMPARA DISTRICT,6.8
T1-049,AMPARA DISTRICT,3
E1-001,AMPARA DISTRICT,868.35
E1-002,AMPARA DISTRICT,1076.65
E1-003,AMPARA DISTRICT,1284.9
E1-004,AMPARA DISTRICT,1156.4
E1-005,AMPARA DISTRICT,1701.4
E1-006,AMPARA DISTRICT,1446.2
E1-007,AMPARA DISTRICT,2534.45
E1-008,AMPARA DISTRICT,2154.3
E1-009,AMPARA DISTRICT,1840.25
E1-010,AMPARA DISTRICT,2742.7
E1-010A,AMPARA DISTRICT,2117.95
E1-011,AMPARA DISTRICT,1701.4
E1-012,AMPARA DISTRICT,2117.95
E1-013,AMPARA DISTRICT,2950.95
